,Date Time,Apple_Price,Meta_Price,Tesla_Price,Google_Price,Nvidia_Price,Amazon_Price
1242,2019-02-04,42.81,169.25,20.86,57.07,37.3,81.67
1241,2019-02-05,43.55,171.16,21.42,57.59,37.49,82.94
1240,2019-02-06,43.56,170.49,21.15,56.14,38.25,82.01
1239,2019-02-07,42.73,166.38,20.5,55.3,36.85,80.72
1238,2019-02-08,42.6,167.33,20.39,55.12,37.04,79.41
1237,2019-02-11,42.36,165.79,20.86,55.11,36.61,79.55
1236,2019-02-12,42.72,165.04,20.79,56.38,37.79,81.9
1235,2019-02-13,42.55,164.07,20.54,56.43,38.22,82.0
1234,2019-02-14,42.7,163.95,20.25,56.46,38.63,81.13
1233,2019-02-15,42.6,162.5,20.53,55.98,39.34,80.4
1232,2019-02-19,42.73,162.29,20.38,56.33,39.16,81.38
1231,2019-02-20,43.01,162.56,20.17,56.03,39.64,81.11
1230,2019-02-21,42.77,160.04,19.42,55.21,38.94,80.97
1229,2019-02-22,43.24,161.89,19.65,55.83,39.8,81.58
1228,2019-02-25,43.56,164.62,19.92,55.87,39.67,81.65
1227,2019-02-26,43.58,164.13,19.86,56.1,39.27,81.82
1226,2019-02-27,43.72,162.81,20.98,56.14,38.85,82.05
1225,2019-02-28,43.29,161.45,21.33,56.33,38.56,81.99
1224,2019-03-01,43.74,162.28,19.65,57.43,39.11,83.59
1223,2019-03-04,43.96,167.37,19.02,57.67,39.2,84.81
1222,2019-03-05,43.88,171.26,18.44,58.46,39.13,84.62
1221,2019-03-06,43.63,172.51,18.42,58.25,38.01,83.45
1220,2019-03-07,43.12,169.13,18.44,57.54,37.31,81.3
1219,2019-03-08,43.23,169.6,18.94,57.5,37.66,81.04
1218,2019-03-11,44.73,172.07,19.39,58.96,40.28,83.53
1217,2019-03-12,45.23,171.92,18.89,59.86,40.63,83.66
1216,2019-03-13,45.43,173.37,19.26,59.95,42.16,84.54
1215,2019-03-14,45.93,170.17,19.33,59.63,41.39,84.31
1214,2019-03-15,46.53,165.98,18.36,59.52,42.45,85.62
1213,2019-03-18,47.01,160.47,17.97,59.43,42.24,87.11
1212,2019-03-19,46.63,161.57,17.83,60.12,43.93,88.09
1211,2019-03-20,47.04,165.44,18.24,61.32,43.6,89.86
1210,2019-03-21,48.77,166.08,18.27,61.81,45.98,90.96
1209,2019-03-22,47.76,164.34,17.64,60.38,44.38,88.24
1208,2019-03-25,47.19,166.29,17.36,59.87,43.45,88.71
1207,2019-03-26,46.7,167.68,17.85,59.49,44.22,89.19
1206,2019-03-27,47.12,165.87,18.32,58.9,44.12,88.28
1205,2019-03-28,47.18,165.55,18.57,58.61,44.31,88.67
1204,2019-03-29,47.49,166.69,18.66,58.84,44.89,89.04
1203,2019-04-01,47.81,168.7,19.28,59.95,45.57,90.71
1202,2019-04-02,48.51,174.2,19.06,60.28,45.75,90.7
1201,2019-04-03,48.84,173.54,19.45,60.54,47.16,91.03
1200,2019-04-04,48.92,176.02,17.85,60.97,47.06,90.94
1199,2019-04-05,49.25,175.72,18.33,60.57,47.74,91.86
1198,2019-04-08,50.02,174.93,18.21,60.41,47.95,92.49
1197,2019-04-09,49.88,177.58,18.15,60.13,47.31,91.79
1196,2019-04-10,50.16,177.82,18.4,60.32,48.02,92.37
1195,2019-04-11,49.74,177.51,17.89,60.48,47.88,92.2
1194,2019-04-12,49.72,179.1,17.85,61.14,47.5,92.15
1193,2019-04-15,49.81,179.65,17.76,61.33,46.17,92.24
1192,2019-04-16,49.81,178.87,18.22,61.6,47.05,93.15
1191,2019-04-17,50.78,178.78,18.08,62.01,46.82,93.24
1190,2019-04-18,50.97,178.28,18.22,62.07,46.58,93.08
1189,2019-04-22,51.13,181.44,17.52,62.69,47.12,94.37
1188,2019-04-23,51.87,183.78,17.59,63.53,47.67,96.19
1187,2019-04-24,51.79,182.58,17.24,63.0,47.79,95.09
1186,2019-04-25,51.32,193.26,16.51,63.37,46.73,95.11
1185,2019-04-26,51.08,191.49,15.68,63.87,44.52,97.53
1184,2019-04-29,51.15,194.78,16.1,64.81,44.83,96.92
1183,2019-04-30,50.17,193.4,15.91,59.95,45.25,96.33
1182,2019-05-01,52.63,193.03,15.6,58.67,45.12,95.58
1181,2019-05-02,52.29,192.53,16.27,58.33,45.8,95.04
1180,2019-05-03,52.94,195.47,17.0,59.48,45.75,98.12
1179,2019-05-06,52.12,193.88,17.02,59.67,44.96,97.53
1178,2019-05-07,50.72,189.77,16.47,58.94,43.28,96.05
1177,2019-05-08,50.73,189.54,16.32,58.54,43.48,95.89
1176,2019-05-09,50.18,188.65,16.13,58.4,42.55,94.99
1175,2019-05-10,49.3,188.34,15.97,58.38,42.2,94.5
1174,2019-05-13,46.43,181.54,15.13,56.83,39.61,91.13
1173,2019-05-14,47.16,180.73,15.49,56.24,40.51,92.01
1172,2019-05-15,47.73,186.27,15.46,58.54,39.9,93.56
1171,2019-05-16,47.52,186.99,15.22,59.23,40.05,95.38
1170,2019-05-17,47.25,185.3,14.07,58.44,39.13,93.45
1169,2019-05-20,45.77,182.72,13.69,57.23,37.94,92.95
1168,2019-05-21,46.65,184.82,13.67,57.72,38.77,92.88
1167,2019-05-22,45.7,185.32,12.85,57.79,38.05,92.98
1166,2019-05-23,44.91,180.87,13.03,57.27,36.83,90.77
1165,2019-05-24,44.74,181.06,12.71,56.93,36.29,91.16
1164,2019-05-28,44.56,184.31,12.58,56.98,35.83,91.82
1163,2019-05-29,44.34,182.19,12.66,56.0,35.09,90.96
1162,2019-05-30,44.58,183.01,12.55,56.07,34.78,90.82
1161,2019-05-31,43.77,177.47,12.34,55.33,33.87,88.75
1160,2019-06-03,43.33,164.15,11.93,51.94,33.45,84.63
1159,2019-06-04,44.91,167.5,12.91,52.72,35.75,86.48
1158,2019-06-05,45.63,168.17,13.11,52.23,35.32,86.92
1157,2019-06-06,46.3,168.33,13.73,52.39,35.95,87.72
1156,2019-06-07,47.54,173.35,13.63,53.42,36.38,90.2
1155,2019-06-10,48.15,174.82,14.19,54.14,37.11,93.03
1154,2019-06-11,48.7,178.1,14.47,54.05,37.69,93.19
1153,2019-06-12,48.55,175.04,13.95,53.95,36.55,92.77
1152,2019-06-13,48.54,177.47,14.26,54.55,37.06,93.52
1151,2019-06-14,48.19,181.33,14.33,54.31,36.16,93.48
1150,2019-06-17,48.47,189.01,15.0,54.69,36.26,94.3
1149,2019-06-18,49.61,188.47,14.98,55.26,38.22,95.07
1148,2019-06-19,49.47,187.48,15.1,55.23,38.28,95.44
1147,2019-06-20,49.87,189.53,14.64,55.66,38.52,95.91
1146,2019-06-21,49.7,191.14,14.79,56.27,37.94,95.56
1145,2019-06-24,49.65,192.6,14.91,55.84,38.16,95.69
1144,2019-06-25,48.89,188.84,14.65,54.38,37.87,93.91
1143,2019-06-26,49.95,187.66,14.62,54.02,39.81,94.89
1142,2019-06-27,49.94,189.5,14.86,53.83,40.81,95.21
